Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
0,1.0,1.0,1.0,145.0,0.97,1.0,0.99,33.0,Random Forest_pca
1,1.0,1.0,1.0,154.0,0.97,1.0,0.98,28.0,Random Forest_pca
2,1.0,1.0,1.0,144.0,0.97,0.97,0.97,33.0,Random Forest_pca
3,1.0,1.0,1.0,149.0,1.0,0.91,0.95,34.0,Random Forest_pca
4,1.0,1.0,1.0,135.0,1.0,1.0,1.0,46.0,Random Forest_pca
5,1.0,1.0,1.0,135.0,0.94,0.94,0.94,47.0,Random Forest_pca
6,1.0,1.0,1.0,146.0,0.97,0.97,0.97,35.0,Random Forest_pca
7,1.0,1.0,1.0,145.0,0.97,0.97,0.97,34.0,Random Forest_pca
8,1.0,1.0,1.0,144.0,0.97,1.0,0.98,30.0,Random Forest_pca
9,1.0,1.0,1.0,140.0,0.95,0.95,0.95,40.0,Random Forest_pca
0,1.0,1.0,1.0,145.0,0.97,0.97,0.97,33.0,XGBoost_pca
1,1.0,1.0,1.0,154.0,0.9,0.96,0.93,28.0,XGBoost_pca
2,1.0,1.0,1.0,144.0,0.94,1.0,0.97,33.0,XGBoost_pca
3,1.0,1.0,1.0,149.0,1.0,0.94,0.97,34.0,XGBoost_pca
4,1.0,1.0,1.0,135.0,0.98,1.0,0.99,46.0,XGBoost_pca
5,1.0,1.0,1.0,135.0,0.88,0.94,0.91,47.0,XGBoost_pca
6,1.0,1.0,1.0,146.0,1.0,0.97,0.99,35.0,XGBoost_pca
7,1.0,1.0,1.0,145.0,0.97,0.94,0.96,34.0,XGBoost_pca
8,1.0,1.0,1.0,144.0,1.0,0.87,0.93,30.0,XGBoost_pca
9,1.0,1.0,1.0,140.0,0.92,0.92,0.92,40.0,XGBoost_pca
